19, -1, -1, 1
12, 13000, -1, 5000
12, 13001, -1, 5001
7, 5000, 13001, 12000
16, 12000, -1, 13
26, 5000, 0, 10
27, 5000, 5004, 9000
12, 5001, -1, 109000
0, 5000, 13002, 9001
12, 9001, -1, 5000
1, 5001, 13002, 9001
12, 9001, -1, 5001
19, -1, -1, 3
12, 13000, -1, 5000
7, 5000, 13001, 12001
16, 12001, -1, 23
26, 5000, 0, 10
27, 5000, 5004, 9001
18, -1, -1, 109001
18, -1, -1, -1
0, 5000, 13002, 9002
12, 9002, -1, 5000
19, -1, -1, 14
12, 13003, -1, 5002
12, 16000, -1, 8000
12, 13000, -1, 5000
7, 5000, 13001, 12002
16, 12002, -1, 36
26, 5000, 0, 10
27, 5000, 5004, 9002
8, 109002, 5002, 12003
16, 12003, -1, 33
12, 16001, -1, 8000
0, 5000, 13002, 9002
12, 9002, -1, 5000
19, -1, -1, 26
16, 8000, -1, 40
18, -1, -1, 15000
18, -1, -1, -1
19, -1, -1, 42
18, -1, -1, 15001
18, -1, -1, -1
12, 16001, -1, 8001
12, 13000, -1, 5001
16, 8001, -1, 77
12, 16000, -1, 8001
0, 5001, 13002, 9002
12, 9002, -1, 5001
12, 13000, -1, 5000
1, 13004, 5001, 9002
5, 5000, 9002, 12004
16, 12004, -1, 76
26, 5000, 0, 10
27, 5000, 5004, 9002
0, 5000, 13002, 9003
26, 9003, 0, 10
27, 9003, 5004, 9004
4, 109002, 109004, 12005
16, 12005, -1, 73
26, 5000, 0, 10
27, 5000, 5004, 9004
12, 109004, -1, 5003
26, 5000, 0, 10
27, 5000, 5004, 9004
0, 5000, 13002, 9002
26, 9002, 0, 10
27, 9002, 5004, 9005
12, 109005, -1, 109004
0, 5000, 13002, 9005
26, 9005, 0, 10
27, 9005, 5004, 9006
12, 5003, -1, 109006
12, 16001, -1, 8001
0, 5000, 13002, 9007
12, 9007, -1, 5000
19, -1, -1, 49
19, -1, -1, 44
12, 13000, -1, 5000
7, 5000, 13001, 12006
16, 12006, -1, 87
26, 5000, 0, 10
27, 5000, 5004, 9007
18, -1, -1, 109007
18, -1, -1, -1
0, 5000, 13002, 9008
12, 9008, -1, 5000
19, -1, -1, 78
25, -1, -1, -1
